,REGIÃO,MUNICÍPIO,TOTAL JOVENS,TOTAL IDOSOS
0,VALE DO PARAIBA,APARECIDA,5869,6446
0,VALE DO PARAIBA,CAÇAPAVA,15375,16078
0,VALE DO PARAIBA,CACHOEIRA PAULISTA,5098,6096
0,VALE DO PARAIBA,CANAS,949,724
0,VALE DO PARAIBA,CUNHA,3712,3418
0,VALE DO PARAIBA,GUARATINGUETÁ,19191,22030
0,VALE DO PARAIBA,IGARATÁ,1962,2045
0,VALE DO PARAIBA,JACAREÍ,36304,37589
0,VALE DO PARAIBA,JAMBEIRO,1048,1083
0,VALE DO PARAIBA,LAGOINHA,997,1309
0,VALE DO PARAIBA,LORENA,13206,15468
0,VALE DO PARAIBA,NATIVIDADE DA SERRA,1069,1823
0,VALE DO PARAIBA,PARAIBUNA,2971,3425
0,VALE DO PARAIBA,PINDAMONHANGABA,25987,25396
0,VALE DO PARAIBA,PIQUETE,1923,2444
0,VALE DO PARAIBA,POTIM,3032,2197
0,VALE DO PARAIBA,REDENÇÃO DA SERRA,854,1101
0,VALE DO PARAIBA,ROSEIRA,1885,1714
0,VALE DO PARAIBA,SANTA BRANCA,2518,2934
0,VALE DO PARAIBA,SÃO JOSÉ DOS CAMPOS,116936,110626
0,VALE DO PARAIBA,SÃO LUÍS DO PARAITINGA,2026,2388
0,VALE DO PARAIBA,TAUBATÉ,46341,52687
0,VALE DO PARAIBA,TREMEMBÉ,6416,6371
0,VALE HISTÓRICO,ARAPEÍ,495,621
0,VALE HISTÓRICO,AREIAS,730,577
0,VALE HISTÓRICO,BANANAL,1826,2125
0,VALE HISTÓRICO,CRUZEIRO,12153,14629
0,VALE HISTÓRICO,LAVRINHAS,1448,1208
0,VALE HISTÓRICO,QUELUZ,1697,1284
0,VALE HISTÓRICO,SÃO JOSÉ DO BARREIRO,798,880
0,VALE HISTÓRICO,SILVEIRAS,1117,1233
0,LITORAL NORTE,CARAGUATATUBA,21899,20647
0,LITORAL NORTE,ILHABELA,6189,4778
0,LITORAL NORTE,SÃO SEBASTIÃO,14396,11208
0,LITORAL NORTE,UBATUBA,16078,14263
0,SERRA DA MANTIQUEIRA,CAMPOS DO JORDÃO,8963,7861
0,SERRA DA MANTIQUEIRA,MONTEIRO LOBATO,740,960
0,SERRA DA MANTIQUEIRA,SANTO ANTÔNIO DO PINHAL,1237,1507
0,SERRA DA MANTIQUEIRA,SÃO BENTO DO SAPUCAÍ,1815,2512
0,REGIÃO BRAGANTINA,ATIBAIA,24336,25446
0,REGIÃO BRAGANTINA,BOM JESUS DOS PERDÕES,4187,3506
0,REGIÃO BRAGANTINA,BRAGANÇA PAULISTA,28104,28909
0,REGIÃO BRAGANTINA,JOANÓPOLIS,1858,2638
0,REGIÃO BRAGANTINA,NAZARÉ PAULISTA,3046,3652
0,REGIÃO BRAGANTINA,PIRACAIA,4733,5258
0,REGIÃO BRAGANTINA,VARGEM,1417,1831
